CTF,CTF2,CTF3
0.018713,-0.008636,-0.84242
0.018063,-0.014878,-0.83826
0.016114,-0.019715,-0.83478
0.012864,-0.025243,-0.83353
0.008314,-0.031623,-0.83301
0.002464,-0.039068,-0.83256
0.004686,-0.04787,-0.83239
0.013136,-0.058435,-0.8322
0.022884,-0.071352,-0.83206
0.03393,-0.087506,-0.83198
0.04627,-0.108287,-0.83188
0.059901,-0.136015,-0.83184
0.074817,-0.17486,-0.83177
0.091011,-0.233183,-0.83172
0.108473,-0.330605,-0.83169
0.127191,-0.526279,-0.83165
0.147151,-1.120059,-0.83163
0.168331,68.084282,-0.83159
0.190711,1.195413,-0.83157
0.214262,0.631186,-0.83155
0.238952,0.440949,-0.83153
0.264741,0.345403,-0.83152
0.291587,0.37753,-0.8315
0.319437,0.389724,-0.83149
0.348232,0.401703,-0.83147
0.377906,0.413467,-0.83146
0.408383,0.425008,-0.83145
0.43958,0.436335,-0.83144
0.471402,0.447447,-0.83143
0.503745,0.458344,-0.83142
0.536494,0.469024,-0.83141
0.569523,0.479487,-0.83141
0.602694,0.489735,-0.8314
0.635859,0.499768,-0.83139
0.668855,0.509584,-0.83138
0.70151,0.519184,-0.83138
0.733639,0.528569,-0.83137
0.765043,0.537739,-0.83137
0.795513,0.546694,-0.83137
0.824829,0.555433,-0.83136
0.852759,0.563957,-0.83136
0.879062,0.572263,-0.83135
0.903486,0.580355,-0.83135
0.925774,0.588231,-0.83134
0.945661,0.595894,-0.83134
0.962877,0.603341,-0.83134
0.977149,0.610572,-0.83133
0.988204,0.617587,-0.83133
0.995771,0.624386,-0.83132
0.999581,0.630971,-0.83132
0.999374,0.637339,-0.83132
0.994902,0.643493,-0.83132
0.985929,0.649432,-0.83131
0.972236,0.655156,-0.83131
0.953628,0.660663,-0.83131
0.929933,0.665955,-0.8313
0.901011,0.671033,-0.8313
0.866755,0.675895,-0.8313
0.827098,0.638787,-0.8313
0.782014,0.575894,-0.8313
0.731527,0.332949,-1.05919
0.675709,-0.061615,-1.71722
0.614693,-0.34359,-2.05474
0.548665,-0.528667,-2.06652
0.477878,-0.654756,-2.15339
0.40265,-0.740764,-2.32727
0.323366,-0.767053,-2.29917
0.240479,-0.768767,-2.41487
0.154513,-0.72595,-2.17594
0.066064,-0.674131,-2.20734
0.024207,-0.599323,-2.05825
0.115571,-0.503402,-2.20318
0.207236,-0.368528,-1.89246
0.298353,-0.251899,-1.6993
0.388021,-0.144576,-1.7136
0.475294,-0.003503,-1.53594
0.559192,0.139445,-1.42765
0.638712,0.284014,-1.27207
0.712836,0.481252,-0.98966
0.780548,0.662649,-0.90898
0.840848,0.732472,-0.82946
0.892769,0.791425,-0.69466
0.935389,0.835041,-0.66508
0.967856,0.835122,-0.79083
0.989399,0.909494,-0.66242
0.999354,0.964539,-0.53338
0.997177,0.896533,-0.71609
0.982464,0.925122,-0.61569
0.954968,0.935489,-0.57332
0.914618,0.904718,-0.65226
0.861529,0.865538,-0.70454
0.796018,0.75044,-0.83816
0.718612,0.641563,-0.91136
0.630054,0.58422,-0.9624
0.531308,0.495218,-1.01688
0.423555,0.468623,-1.03825
0.308192,0.423803,-1.13465
0.186816,0.361435,-1.17701
0.061211,0.361508,-1.16156
0.066668,0.379822,-1.12731
0.19473,0.407975,-1.01142
0.320771,0.480324,-1.04467
0.442517,0.574934,-0.96126
0.557657,0.642222,-0.88244
0.663893,0.700188,-0.75472
0.758992,0.784419,-0.6432
0.840828,0.903191,-0.56837
0.907442,0.938859,-0.60682
0.957093,0.929413,-0.51324
0.988309,0.938662,-0.50167
0.999941,0.888419,-0.53491
0.991207,0.82088,-0.56686
0.961733,0.790909,-0.58138
0.911588,0.778462,-0.62691
0.841314,0.748012,-0.66659
0.751934,0.607903,-0.7614
0.644963,0.523679,-0.87493
0.5224,0.483205,-0.85484
0.386704,0.389235,-0.97327
0.240762,0.304297,-1.04942
0.087835,0.284233,-1.0346
0.068494,0.264084,-1.03318
0.224414,0.277565,-1.02104
0.375958,0.375723,-0.95148
0.519116,0.440567,-0.83793
0.649934,0.486167,-0.78452
0.764635,0.541326,-0.80383
0.859733,0.511692,-0.77708
0.932153,0.520568,-0.68371
0.979342,0.545762,-0.69106
0.999371,0.293779,-0.64621
0.991036,0.285805,-0.64871
0.953922,0.258636,-0.7066
0.88847,0.172323,-0.69343
0.796,0.158168,-0.76266
0.678723,0.093503,-0.83839
0.539708,0.029836,-0.85505
0.382834,0.016546,-0.87285
0.212704,0.038338,-0.95858
0.034518,-0.08137,-0.88434
0.146063,-0.055443,-0.99332
0.323091,-0.083278,-0.87863
0.490528,-0.021092,-0.86672
0.642452,0.034883,-0.89076
0.77327,0.017881,-0.75561
0.877952,0.124798,-0.76216
0.952227,0.091617,-0.75938
0.992788,0.143795,-0.73778
0.99746,0.260304,-0.72435
0.96534,0.21357,-0.68698
0.89689,0.197888,-0.76764
0.793985,0.151844,-0.76424
0.659903,0.097009,-0.88034
0.499267,0.044881,-0.90521
0.317906,-0.022554,-0.9438
0.122684,-0.028205,-0.97461
0.078743,0.0077,-0.86137
0.278218,0.072647,-0.84453
