CTF,CTF2
1,-0.85685
1,-0.8417
1,-0.82902
1,-0.82448
1,-0.82258
1,-0.82092
1,-0.82031
1,-0.81961
1,-0.81912
1,-0.81881
1,-0.81845
1,-0.81831
1,-0.81804
1,-0.81788
1,-0.81776
1,-0.81761
1,-0.81754
1,-0.8174
1,-0.81734
1,-0.81726
1,-0.81719
1,-0.81713
1,-0.81706
1,-0.81703
1,-0.81697
1,-0.81693
1,-0.81689
1,-0.81685
1,-0.81683
1,-0.81678
1,-0.81676
1,-0.81673
1,-0.8167
1,-0.81668
1,-0.81665
1,-0.81664
1,-0.81661
1,-0.8166
1,-0.81657
1,-0.81655
1,-0.81655
1,-0.81652
1,-0.81651
1,-0.81649
1,-0.81648
1,-0.81647
1,-0.81645
1,-0.81645
1,-0.81643
1,-0.81642
1,-0.81641
1,-0.81639
1,-0.81639
1,-0.81638
1,-0.81637
1,-0.81636
1,-0.81635
1,-0.81635
1,-0.81634
1,-0.81633
1,-0.90175
0.952506,-1.08278
0.952506,-1.21275
0.952506,-1.35642
0.952506,-1.48959
0.952506,-1.60809
0.952506,-1.76391
0.952506,-1.98268
0.952506,-2.09734
0.952506,-2.14138
0.952506,-2.31954
0.952506,-2.08563
0.952506,-2.13521
0.952506,-2.08317
0.952506,-2.021
0.952506,-2.11493
0.952506,-2.1341
0.952506,-1.86886
0.952506,-1.86534
0.952506,-1.69732
0.952506,-1.63177
0.952506,-1.32081
0.952506,-1.20432
0.952506,-1.06321
0.952506,-0.98715
0.952506,-0.75831
0.952506,-0.77242
0.952506,-0.66422
0.952506,-0.75358
0.952506,-0.61321
0.952506,-0.51353
0.952506,-0.56374
0.958591,-0.48565
0.958591,-0.45875
0.958591,-0.57296
0.958591,-0.62772
0.958853,-0.68237
0.958487,-0.65954
0.958134,-0.83558
0.958043,-0.88583
0.957294,-0.93567
0.958014,-0.96734
0.959091,-1.06279
0.960288,-1.10162
0.961377,-1.14492
0.966386,-1.06315
0.971743,-1.1098
0.974413,-0.9979
0.97386,-0.97618
0.976135,-0.97855
0.976067,-0.90507
0.97464,-0.75166
0.973484,-0.69695
0.973371,-0.55627
0.974487,-0.59412
0.970216,-0.51872
0.970646,-0.49476
0.970404,-0.49615
0.970555,-0.44883
0.970738,-0.487
0.970077,-0.50278
0.966517,-0.6221
0.963855,-0.76371
0.960824,-0.82671
0.960493,-0.83995
0.960372,-0.91456
0.960369,-0.95322
0.958907,-0.93214
0.959053,-1.02585
0.95752,-0.99585
0.955198,-1.07934
0.955034,-0.97906
0.955035,-0.8998
0.945428,-0.84426
0.946789,-0.84264
0.940215,-0.77172
0.936466,-0.75198
0.935396,-0.68004
0.932594,-0.6162
0.929629,-0.51923
0.930036,-0.66299
0.930403,-0.73803
0.928769,-0.68466
0.929241,-0.73133
0.930066,-0.78386
0.893697,-0.85608
0.857242,-0.83756
0.813957,-0.9026
0.774198,-0.93918
0.748701,-0.97787
0.733486,-1.01566
0.728921,-0.93655
0.733518,-0.88724
0.742365,-0.82093
0.749436,-0.7459
0.751546,-0.77868
0.747165,-0.73371
0.73489,-0.68384
0.711667,-0.74292
0.705582,-0.73051
0.681749,-0.75694
0.659605,-0.71543
0.625245,-0.73579
0.592203,-0.81543
0.562629,-0.90916
0.536286,-0.90808
0.516301,-0.90471
0.502458,-0.92493
0.495248,-0.9272
0.494377,-0.88512
0.501016,-0.81468
0.497155,-0.79693
0.491337,-0.75208
0.481631,-0.70837
0.470351,-0.69717
0.457938,-0.70373
0.453411,-0.74853
0.416298,-0.80911
0.40858,-0.82882
0.388562,-0.86197
0.386868,-0.83279
0.395603,-0.93448
0.404237,-0.95389
0.406574,-0.98261
0.409231,-0.93355
0.400365,-0.86493
0.382106,-0.82354
0.356879,-0.83062
0.322289,-0.7943
0.289788,-0.77954
0.263738,-0.75533
0.257523,-0.79361
0.269182,-0.80874
0.256287,-0.83215
0.256005,-0.82167
0.295587,-0.82255
0.345196,-0.86654
0.349845,-0.87314
0.372599,-0.86925
0.398505,-0.86548
0.441904,-0.85713
0.466818,-0.82188
0.640468,-0.76784
0.630125,-0.77109
0.626427,-0.79694
0.580404,-0.82137
0.566006,-0.76056
0.565717,-0.79219
0.542442,-0.85188
0.55893,-0.8579
0.560008,-0.85556
0.537619,-0.86484
0.530089,-0.89535
0.538332,-0.89959
0.521663,-0.84682
0.53151,-0.82996
0.541357,-0.84338
0.537728,-0.80396
0.535248,-0.7844
0.52762,-0.78522
0.528137,-0.79748
0.540069,-0.80505
0.561625,-0.82833
0.569429,-0.87241
0.558558,-0.86664
0.518456,-0.82567
0.508706,-0.84328
0.513432,-0.86717
0.520761,-0.8316
0.515872,-0.81062
0.514223,-0.80689
0.505902,-0.81693
0.515659,-0.79516
0.504967,-0.85089
0.47461,-0.84282
0.449452,-0.81681
0.447426,-0.85675
0.451141,-0.85973
0.463805,-0.86554
0.448683,-0.84313
0.418393,-0.83959
0.414916,-0.811
0.42393,-0.80335
0.424488,-0.81058
0.435861,-0.80625
0.423872,-0.78795
0.399456,-0.86012
0.382967,-0.85583
0.366749,-0.83954
0.371352,-0.8614
0.345091,-0.865
0.375401,-0.85363
0.437354,-0.82679
0.461714,-0.81944
0.478307,-0.8157
0.496443,-0.81836
0.495455,-0.81622
0.466448,-0.83507
0.442857,-0.88576
0.431289,-0.83687
0.44268,-0.86226
0.434161,-0.85819
0.431714,-0.7976
0.426327,-0.83248
0.470336,-0.79049
0.474221,-0.79394
0.435519,-0.81364
0.461319,-0.82983
0.467559,-0.82668
0.469156,-0.84263
0.462835,-0.85369
0.476964,-0.84515
0.483235,-0.83004
0.473319,-0.81479
0.464542,-0.80009
0.466311,-0.80859
0.441002,-0.81189
0.432231,-0.82739
0.429775,-0.84786
0.432694,-0.81841
0.441211,-0.82808
0.436738,-0.82575
0.434523,-0.82785
0.428951,-0.81248
0.417841,-0.81648
0.429143,-0.81548
0.401646,-0.80125
0.386981,-0.82347
0.368248,-0.82887
0.388435,-0.81504
0.464902,-0.8125
0.479915,-0.81795
0.472468,-0.80453
0.4567,-0.83283
0.427304,-0.80689
0.428099,-0.79882
0.45608,-0.81421
0.453451,-0.83573
0.462337,-0.84129
0.458709,-0.85559
0.386351,-0.86029
0.393421,-0.8441
0.385964,-0.81897
0.37941,-0.81238
0.389986,-0.81452
0.397177,-0.79614
0.403693,-0.81881
0.416947,-0.82777
0.416642,-0.82254
0.430995,-0.82846
0.413494,-0.84303
0.391151,-0.84751
0.363656,-0.82808
0.365094,-0.8301
0.381105,-0.82644
0.399847,-0.81706
0.388819,-0.83454
0.391148,-0.82454
0.396842,-0.82793
0.393914,-0.82774
0.406662,-0.79996
0.444457,-0.80199
0.457314,-0.82369
0.472879,-0.82432
0.474477,-0.8262
0.474054,-0.85431
0.470573,-0.84302
0.449752,-0.81146
0.447918,-0.80936
0.454571,-0.82934
0.445672,-0.80222
0.430393,-0.81237
0.410729,-0.81133
0.385038,-0.82273
0.380004,-0.82416
0.371919,-0.86679
0.355285,-0.84857
0.336412,-0.83863
0.319174,-0.83434
0.319553,-0.82085
0.345061,-0.79665
0.337898,-0.81448
0.34943,-0.81853
0.324437,-0.81769
0.339511,-0.82703
0.344676,-0.82363
0.344728,-0.80508
0.341933,-0.79858
0.317311,-0.80751
0.308449,-0.81203
0.308491,-0.85203
0.290487,-0.81157
0.281959,-0.82067
0.244362,-0.82093
0.25577,-0.7816
0.258506,-0.79211
0.263293,-0.81596
0.259324,-0.79916
0.396415,-0.80726
0.383316,-0.82042
0.353493,-0.80402
0.349653,-0.82261
0.320661,-0.80996
0.32079,-0.81577
0.332261,-0.82958
0.331406,-0.81778
0.309837,-0.8355
0.294732,-0.83006
0.300045,-0.81633
0.318587,-0.83896
0.335697,-0.8226
0.351388,-0.80579
0.317381,-0.82098
0.335597,-0.82475
0.340129,-0.80674
0.309155,-0.81895
0.327225,-0.82766
0.300718,-0.81191
0.300547,-0.81249
0.259787,-0.82862
0.257334,-0.80956
0.249734,-0.8022
0.246163,-0.80768
0.237309,-0.81543
0.236662,-0.81909
0.235038,-0.80048
0.214283,-0.81023
0.196188,-0.81213
0.205328,-0.81925
0.197285,-0.81941
0.180528,-0.80234
0.201098,-0.80735
0.184665,-0.81165
0.187947,-0.81561
0.216744,-0.81705
0.222822,-0.80088
0.234491,-0.82089
0.229085,-0.83925
0.248391,-0.81204
0.235867,-0.80788
0.225738,-0.80876
0.236034,-0.81461
0.238022,-0.84211
0.212997,-0.82234
0.215247,-0.81893
0.190783,-0.82554
0.172927,-0.81639
0.16489,-0.8221
0.148067,-0.82703
0.15908,-0.8143
0.147086,-0.832
0.15458,-0.81642
0.156868,-0.81336
0.187541,-0.8239
0.190226,-0.81157
0.196711,-0.82211
0.201117,-0.81375
0.185544,-0.80886
0.09409,-0.8126
0.098112,-0.79963
0.121419,-0.79921
0.148087,-0.80996
0.129564,-0.81738
0.061545,-0.82142
0.068614,-0.81758
0.080009,-0.81532
0.10552,-0.8059
0.119828,-0.81455
0.105243,-0.81318
0.062886,-0.81824
0.105319,-0.81466
0.10889,-0.81409
0.063803,-0.8206
0.017127,-0.82183
-0.0179,-0.81327
0.072828,-0.81202
0.091667,-0.82368
0.071865,-0.82267
0.034415,-0.81958
0.012199,-0.81889
0.034621,-0.81602
0.003475,-0.8072
0.027719,-0.81013
0.007804,-0.8051
0.007844,-0.81553
0.01307,-0.80678
0.026358,-0.81627
0.035183,-0.81057
0.044909,-0.81413
0.026589,-0.81509
0.05944,-0.81236
0.068094,-0.80207
0.073536,-0.79912
0.069503,-0.80662
0.09133,-0.79585
0.082629,-0.80442
0.092256,-0.81708
0.078571,-0.82664
0.075769,-0.80745
0.054217,-0.82517
0.063282,-0.81393
0.06019,-0.80419
0.043817,-0.81863
0.065348,-0.83279
0.059443,-0.82446
0.050851,-0.80916
0.041443,-0.82432
0.044731,-0.80754
0.021864,-0.81784
0.038721,-0.81202
0.037283,-0.8168
0.060269,-0.83158
0.044048,-0.81406
0.065516,-0.8083
0.064473,-0.82122
0.065311,-0.83529
0.061811,-0.83378
0.067862,-0.81524
0.086716,-0.81827
0.075697,-0.82165
0.065807,-0.80924
0.062892,-0.81703
0.042435,-0.82723
0.042323,-0.80935
0.046438,-0.82029
0.063744,-0.82799
0.05185,-0.82714
0.054794,-0.84578
0.029978,-0.8345
0.091132,-0.83033
0.098599,-0.82691
0.080381,-0.82692
0.074346,-0.82399
0.075624,-0.82208
0.074819,-0.82359
0.15649,-0.83646
0.147795,-0.82883
0.116681,-0.82192
0.17745,-0.81773
0.211882,-0.82255
0.197051,-0.81628
0.15312,-0.82661
0.086302,-0.82376
0.124356,-0.832
0.205571,-0.83045
0.214221,-0.83196
0.183398,-0.82431
0.145498,-0.82786
0.144862,-0.81786
0.130393,-0.80825
0.110505,-0.80154
0.10594,-0.79831
0.071431,-0.7785
0.073864,-0.79796
0.098644,-0.80698
0.092387,-0.79491
0.079591,-0.79373
0.114169,-0.80879
0.113221,-0.80867
0.097462,-0.81216
0.076762,-0.81046
0.060812,-0.82221
0.069064,-0.81872
0.067211,-0.81776
0.108962,-0.82306
0.032243,-0.83109
0.021986,-0.82413
0.047226,-0.80255
0.026716,-0.80708
0.027177,-0.82246
-8.3E-05,-0.80558
0.000495,-0.81024
-0.003405,-0.80388
-0.013356,-0.81409
-0.024556,-0.82609
-0.009462,-0.82001
-0.002463,-0.81979
-0.003974,-0.81672
-0.018267,-0.83066
-0.016514,-0.82435
-0.024269,-0.81339
-0.03027,-0.81825
-0.036356,-0.82834
-0.018402,-0.8149
-0.035845,-0.81254
-0.021324,-0.81083
-0.0599,-0.81636
-0.096376,-0.80734
-0.114724,-0.82551
-0.101613,-0.81605
-0.10927,-0.80871
-0.092926,-0.8188
-0.103742,-0.82735
-0.132562,-0.82294
-0.168585,-0.83288
-0.180651,-0.82153
-0.190687,-0.81791
-0.174875,-0.81068
-0.169183,-0.80963
-0.163354,-0.82029
-0.154013,-0.81227
-0.151868,-0.83139
-0.212181,-0.83639
-0.213025,-0.82618
-0.202236,-0.81882
-0.209567,-0.81982
-0.169197,-0.81536
-0.168301,-0.81413
-0.190044,-0.81577
-0.180241,-0.82427
-0.196336,-0.82513
-0.152776,-0.80924
-0.201386,-0.82202
-0.197209,-0.82098
-0.230898,-0.82033
-0.230717,-0.83074
-0.202875,-0.82267
-0.201213,-0.83015
-0.156735,-0.82825
-0.154855,-0.82313
-0.133179,-0.79886
-0.137842,-0.82217
-0.107046,-0.82217
-0.083611,-0.83501
-0.086786,-0.81171
-0.069484,-0.8179
-0.083973,-0.80253
-0.075915,-0.81194
-0.074395,-0.83021
-0.070277,-0.82393
-0.052836,-0.79628
-0.055042,-0.80065
-0.047878,-0.81363
